ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c923d--65bbd67e273ade4c3d93f447	+	
00028c923d--65bbd6835140ac16b301c19c	+	
00028c923d--65bbd68c7e61f1055b0eb11d	+	
00028c923d--65bbd6945140ac16b301c2c6	+	
00028c923d--65bbd6965140ac16b301c305	+	
00028c923d--65bbd696543cd35382c94acd	+	
00028c923d--65bbd6975140ac16b301c347	+	
00028c923d--65bbd699543cd35382c94ae8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd69e273ade4c3d93f640	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd69f543cd35382c94b18	+	
00028c923d--65bbd6a05140ac16b301c3a5	+	
00028c923d--65bbd6a3543cd35382c94baf	+	
00028c923d--65bbd6a95140ac16b301c422	+	
00028c923d--65bbd6ac156fa003ebe8c19c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6ae156fa003ebe8c213	+	
00028c923d--65bbd6b3273ade4c3d93f785	+	
00028c923d--65bbd6b8543cd35382c94d3d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6ba7e61f1055b0eb4d8	+	
00028c923d--65bbd6bd156fa003ebe8c2fc	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6bf156fa003ebe8c338	+	
00028c923d--65bbd6c2156fa003ebe8c373	+	
00028c923d--65bbd6cb156fa003ebe8c428	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6d3273ade4c3d93fa02	+	
00028c923d--65bbd6de273ade4c3d93faef	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6de273ade4c3d93fb01	+	
00028c923d--65bbd6e3156fa003ebe8c619	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6e55140ac16b301ca2e	+	
00028c923d--65bbd6e7156fa003ebe8c669	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6e85140ac16b301caa4	+	
00028c923d--65bbd6e8543cd35382c9507f	+	
00028c923d--65bbd6e9543cd35382c95094	+	
00028c923d--65bbd6ee543cd35382c950c3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd6f87e61f1055b0eb953	+	
00028c923d--65bbd6f95140ac16b301cbaa	+	
00028c923d--65bbd6f97e61f1055b0eb971	+	
00028c923d--65bbd6fb7e61f1055b0eb981	+	
00028c923d--65bbd6fd7e61f1055b0eb9ab	+	
00028c923d--65bbd700543cd35382c95220	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7035140ac16b301cc27	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7065140ac16b301cc73	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd712273ade4c3d93fe39	+	
00028c923d--65bbd713156fa003ebe8c9a9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7175140ac16b301cdf9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7177e61f1055b0ebb84	+	
00028c923d--65bbd718543cd35382c95410	+	
00028c923d--65bbd725273ade4c3d93ffdb	+	
00028c923d--65bbd728156fa003ebe8cb79	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd72a273ade4c3d94000f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd72c5140ac16b301cf54	+	
00028c923d--65bbd72d543cd35382c955e5	+	
00028c923d--65bbd74b7e61f1055b0ebf71	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd74c5140ac16b301d17d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd74d156fa003ebe8ce0c	+	
00028c923d--65bbd764543cd35382c959e1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd767156fa003ebe8cfeb	+	
