ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c2f81--65b0e235f0884d28d176325e	+	
00028c2f81--65b0e237ee2612733d6d091b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e2516ee6ba6cf9630df3	+	
00028c2f81--65b0e25e753d7e7cfc350359	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e26ef0884d28d17637fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e283acc1b67a2f76f6ce	+	
00028c2f81--65b0e29cee2612733d6d15a0	+	
00028c2f81--65b0e29dee2612733d6d15be	+	
00028c2f81--65b0e2adf0884d28d1764048	+	
00028c2f81--65b0e2b3f0884d28d17640e6	+	
00028c2f81--65b0e2c8b7b7c642134359dc	+	
00028c2f81--65b0e2e3ee2612733d6d1d62	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e2e4753d7e7cfc3512aa	+	
00028c2f81--65b0e2e7f0884d28d1764764	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e3206ee6ba6cf9632632	+	
00028c2f81--65b0e32b753d7e7cfc351b45	+	
00028c2f81--65b0e33eee2612733d6d282d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e348753d7e7cfc351fb8	+	
00028c2f81--65b0e365753d7e7cfc3522ba	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e36a6ee6ba6cf9632e51	+	
00028c2f81--65b0e36e753d7e7cfc35246f	+	
00028c2f81--65b0e3a7f0884d28d1765c7f	+	
00028c2f81--65b0e3afb7b7c642134374a0	+	
00028c2f81--65b0e3b8f0884d28d1765e8d	+	
00028c2f81--65b0e3e9753d7e7cfc353425	+	
00028c2f81--65b0e3f6acc1b67a2f77247e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e3f9ee2612733d6d3e4e	+	
00028c2f81--65b0e409b7b7c64213437f94	+	
00028c2f81--65b0e423f0884d28d1766a0b	+	
00028c2f81--65b0e424f0884d28d1766a4e	+	
00028c2f81--65b0e432ee2612733d6d445f	+	
00028c2f81--65b0e43b6ee6ba6cf9634815	+	
00028c2f81--65b0e44bf0884d28d1766df1	+	
00028c2f81--65b0e458f0884d28d1766f85	+	
00028c2f81--65b0e49c753d7e7cfc35499d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e4a7acc1b67a2f773720	+	
00028c2f81--65b0e4b5753d7e7cfc354d10	+	
00028c2f81--65b0e4f0753d7e7cfc35549a	+	
00028c2f81--65b0e4f5f0884d28d17681c3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e50eee2612733d6d5d1c	+	
00028c2f81--65b0e523ee2612733d6d5f19	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e53bacc1b67a2f7748f8	+	
00028c2f81--65b0e53ef0884d28d176898b	+	
00028c2f81--65b0e548b7b7c6421343a83d	+	
00028c2f81--65b0e552753d7e7cfc356053	+	
00028c2f81--65b0e5626ee6ba6cf9636d77	+	
00028c2f81--65b0e56cee2612733d6d67b0	+	
