success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,rt,stimulus,response,task,correct_response,correct,pred_class,pred_concept,question_order,fbclid
true,false,[],[],[],preload,0,740,0.0-0.0,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,,,,,,,
,,,,,html-button-response,1,16897,0.0-1.0,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,16156,"<strong>Welcome to the <i>beexplainable</i> experiment!</strong>
               <p><i>Note</i>: Please only do this experiment <strong>once</strong>.</p>
               <p>We also recommend you use a device with a wider screen (i.e. laptop, tablet) <strong>not</strong> your phone.",0,,,,
,,,,,html-button-response,2,23403,0.0-2.0,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,6505,"	  
      <p>In this experiment, you will be shown 30 images of 5 
	wild bee species and be asked to solve three tasks.</p><p><strong>Task 1 (10 images)</strong>: Assign a species to the
	test image based on the prototypes shown on the right half of the page.</p>
      <p><strong>Task 2 (10 images)</strong>: Assign a species while also knowing our model's prediction (marked red in title).</p>
	    <p><strong>Task 3 (10 images)</strong>: Assign again a species only with the help of the prototypes 
	    (no model prediction revealed).</p><p><i>Note</i>: From this moment on, please avoid resizing your browser window, as this may cause 
	    the zooming tool to malfunction.</p>
    ",0,,,,
,,,,,html-button-response,3,63098,0.0-3.0,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,39692,"
  <div id=""div_row"">
      <div class=""row"">
          <div class=""column"">
              <div class=""card"">
                  <img src=""img/Andrena_bicolor_proto.jpg"" alt=""bico"">
                  <h5>Andrena bicolor</h5>
              </div>
          </div>

          <div class=""column"">
              <div class=""card"">
                  <img src=""img/Andrena_flavipes_proto.jpg"" alt=""flavi"">
                  <h5>Andrena flavipes</h5>
              </div>
          </div>

          <div class=""column"">
              <div class=""card"">
                  <img src=""img/Andrena_fulva_proto.jpg"" alt=""fulva"">
                  <h5>Andrena fulva</h5>
              </div>
          </div>
      </div>

      <div class=""row"">
          <div class=""column"">
              <div class=""card"">
                  <img src=""img/Bombus_lucorum_proto.jpg"" alt=""luco"">
                  <h5>Bombus lucorum</h5>
              </div>
          </div>

          <div class=""column"">
              <div class=""card"">
                  <img src=""img/Bombus_pratorum_proto.jpg"" alt=""prato"">
                  <h5>Bombus pratorum</h5>
              </div>
          </div>
          
          <div class=""column"">
              
          </div>
      </div>
  </div><div id=""just_protos_prompt_div""><p>Before starting the experiment, take your time and look at the 5 samples on the right.
	Each of them was chosen as a prototype of their species. Throughout the whole experiment you will be shown these representative samples 
	next to the test samples to help you decide which species the test sample belongs to. 
	<p>Whenever you are ready, click <strong>Continue</strong> to start the first task:</p>
	<p><strong>Task 1 (10 images): Assign a species to the
	test image based on the prototypes.</strong></p></div>",0,,,,
,,,,,html-keyboard-response,4,64863,0.0-4.0-0.0,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,5,76521,0.0-4.0-1.0,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,11651,img/Bombus_terrestris_55204752_1.jpg,4,response_1,Bombus lucorum,false,
,,,,,html-keyboard-response,6,76775,0.0-4.0-0.1,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,7,88672,0.0-4.0-1.1,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,11894,img/Andrena_bicolor_42078638_3.jpg,2,response_1,Andrena bicolor,false,
,,,,,html-keyboard-response,8,89426,0.0-4.0-0.2,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,9,94536,0.0-4.0-1.2,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,5107,img/Bombus_pratorum_21992207_1.jpg,4,response_1,Bombus pratorum,true,
,,,,,html-keyboard-response,10,95300,0.0-4.0-0.3,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,11,114521,0.0-4.0-1.3,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,19216,img/Andrena_fulva_21366312_1.jpg,2,response_1,Andrena fulva,true,
,,,,,html-keyboard-response,12,114783,0.0-4.0-0.4,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,13,123018,0.0-4.0-1.4,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,8232,img/Andrena_flavipes_40832925_2.jpg,1,response_1,Andrena flavipes,true,
,,,,,html-keyboard-response,14,123525,0.0-4.0-0.5,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,15,133612,0.0-4.0-1.5,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,10084,img/Andrena_fulva_24609371_2.jpg,2,response_1,Andrena fulva,true,
,,,,,html-keyboard-response,16,134366,0.0-4.0-0.6,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,17,141726,0.0-4.0-1.6,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,7356,img/Bombus_pratorum_27515055_2.jpg,4,response_1,Bombus pratorum,true,
,,,,,html-keyboard-response,18,142480,0.0-4.0-0.7,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,19,149761,0.0-4.0-1.7,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,7278,img/Andrena_fulva_11872393_2.jpg,2,response_1,Andrena fulva,true,
,,,,,html-keyboard-response,20,150528,0.0-4.0-0.8,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-button-response,21,156275,0.0-4.0-1.8,12,1,2023-04-13 07:43:03,1075581b3d7bed61cf7b4848055b0d0e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",WebKit,Edge,112.0.1722.39,Windows,10.0,5745,img/Bombus_terrestris_50405525_1.jpg,3,response_1,Bombus lucorum,true,
