INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/0BzwBz1/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	725dcf95-31c7-4048-ab21-f064b5cb433a	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/dMVZ742/Andrena-flavipes-49603112-1-easy.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	b0ff58e5-c8cd-4b0a-b982-2c986f5a5467	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	ddd749ea-c87f-4678-aac6-b00552daef7f	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	e5bfc35e-b44b-4d7e-96e2-c35e7badf6ab	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/rs1yXcm/Andrena-fulva-20995537-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	0555fb3d-f0ca-4fe7-a93a-99c52054f9be	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	be0bc0e0-db2c-4a9c-83b2-4ef62a2d3e9c	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	8f44a873-a4f8-4c33-af8d-9177e8b53de1	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	a4f97200-db4d-412a-a896-d6effe94d625	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/9gyjL4s/Andrena-fulva-71290622-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	35a1a407-73f1-45e2-b559-c4957aa824da	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/Km1xyyf/Andrena-fulva-70388818-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	643745fa-3d2e-440a-a73c-fe1039160068	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/NtLBx79/Andrena-flavipes-50557228-1-easy.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	b3f51e03-b2fd-44a1-ab0d-f79f1277c0f5	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/HCG0gRz/Andrena-fulva-101552423-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	c96b7003-eb06-4cfe-af7f-fd54b4d1da71	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/mFrhL7V/Andrena-bicolor-42078638-2-hard-wrong.jpg	fulva	"""fulva"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	51dce98c-25c0-4569-ab98-7d4bda648b3c	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/ZYNc375/Andrena-flavipes-74134704-3-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	c11756d0-b19d-4a41-8e25-a5e28c0816e3	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/r00VLzq/Andrena-bicolor-43644050-1-hard-corr.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	43b9fdf6-3483-41e0-8c74-782ed1b00619	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/hmPXYqj/Andrena-flavipes-11582465-1-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	dd135cb8-8b48-4222-8d97-a3f9aafb0b65	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/m6RjywT/Andrena-fulva-41775092-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	d8726b8e-49d0-4e6a-8831-313e68eaa85b	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/ZMvBmcF/Andrena-bicolor-53755527-1-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	ef2b1d35-8d2b-4247-8b73-77130eebbc9f	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/yyvHbD3/Andrena-fulva-70388239-1-easy.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	41cfecb1-637c-410c-8804-d928a17d0ef4	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/PZW8WfP/Andrena-bicolor-70513296-4-hard-wrong.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	58454366-3eac-46ae-bb35-c3e0807a833c	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/6g92FP2/Andrena-bicolor-71835166-1-easy.jpg	fulva	"""fulva"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	9476c1dd-4fa1-44a7-afb7-a1b17d5aa953	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/tq10DjQ/Andrena-fulva-41623103-3-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	ce749e93-f141-41f3-8bc2-eff0b057714b	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	529ca170-25d8-458e-917f-b0cab8b09df6	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/t3HdXFV/Andrena-flavipes-18165663-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	5281ccb8-881b-4f0d-8935-5688ed6cd99b	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	e812621b-e776-4d03-8ad5-487afa0cfee2	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/0MvjzQn/Andrena-flavipes-75178065-1-hard-wrong.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	05d7ff65-bde0-4f94-a99d-622a2a658261	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	c5be715b-7d5c-4871-b57f-42e52b22734f	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/8KxVj4r/Andrena-flavipes-5795371-2-easy.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	dec25f24-0cd5-4473-b7b2-db7dfbebcbd5	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	1c4b4002-2bc1-44dd-aabe-acbc626dee25	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/vzrPWf9/Andrena-fulva-70057243-5-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc31543cd35382c9bcb7	2612e981-054e-4fa2-9079-cedf466761af	00028c9222--65bbdc31543cd35382c9bcb7	e3308a108a552e3f6dfba7983c55d691	SUBMITTED	2024-02-01T18:00:17.982		
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	c471326c-5df5-4f1f-9fc9-7e736bca7dec	00028c9222--65bbdc457e61f1055b0f2893	2d41458a7b9d38e44733d582452282c0	SUBMITTED	2024-02-01T18:00:37.894		
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	324e0ddf-36bf-4ee1-918c-2a35f01b3333	00028c9222--65bbdc457e61f1055b0f2893	2d41458a7b9d38e44733d582452282c0	SUBMITTED	2024-02-01T18:00:37.894		
https://i.ibb.co/wy5wTM5/Andrena-bicolor-70836009-2-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	fa7d956c-42c3-498f-b43e-7f7d60861129	00028c9222--65bbdc457e61f1055b0f2893	2d41458a7b9d38e44733d582452282c0	SUBMITTED	2024-02-01T18:00:37.894		
