ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9222--65bbdc31543cd35382c9bcb7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdc457e61f1055b0f2893	+	
00028c9222--65bbdc48156fa003ebe932b4	+	
00028c9222--65bbdc4e7e61f1055b0f295d	+	
00028c9222--65bbdc5d273ade4c3d946ec5	+	
00028c9222--65bbdc68543cd35382c9c0ad	+	
00028c9222--65bbdc6f273ade4c3d947094	+	
00028c9222--65bbdc72156fa003ebe9360b	+	
00028c9222--65bbdc7f7e61f1055b0f2dc0	+	
00028c9222--65bbdcc7543cd35382c9c803	+	
00028c9222--65bbdccc5140ac16b3024c87	+	
00028c9222--65bbdcce5140ac16b3024c9b	+	
00028c9222--65bbdccf156fa003ebe93d36	+	
00028c9222--65bbdcd5543cd35382c9c926	+	
00028c9222--65bbdcdb156fa003ebe93e56	+	
00028c9222--65bbdce17e61f1055b0f34d0	+	
00028c9222--65bbdcf95140ac16b302506b	+	
00028c9222--65bbdd10543cd35382c9ce17	+	
00028c9222--65bbdd117e61f1055b0f393b	+	
00028c9222--65bbdd12156fa003ebe9420d	+	
00028c9222--65bbdd12273ade4c3d947eac	+	
00028c9222--65bbdd145140ac16b3025294	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd245140ac16b3025420	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd25543cd35382c9cff0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd2c5140ac16b30254c2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd35543cd35382c9d17a	+	
00028c9222--65bbdd3a156fa003ebe9459c	+	
00028c9222--65bbdd40543cd35382c9d22b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd42156fa003ebe9465b	+	
00028c9222--65bbdd565140ac16b3025871	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd62273ade4c3d948628	+	
00028c9222--65bbdd66273ade4c3d9486a2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd6c156fa003ebe949ba	+	
00028c9222--65bbdd6c273ade4c3d94872c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd76156fa003ebe94a50	+	
00028c9222--65bbdd777e61f1055b0f40b7	+	
00028c9222--65bbdd797e61f1055b0f40c0	+	
00028c9222--65bbdd80543cd35382c9d7b3	+	
00028c9222--65bbdd927e61f1055b0f42f8	+	
00028c9222--65bbdd93273ade4c3d9489e9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdd95156fa003ebe94cee	+	
00028c9222--65bbddaa156fa003ebe94eef	+	
00028c9222--65bbddb3156fa003ebe95023	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbddbf156fa003ebe950ea	+	
00028c9222--65bbdde27e61f1055b0f49ba	+	
00028c9222--65bbdde47e61f1055b0f49d1	+	
00028c9222--65bbdde5156fa003ebe9535a	+	
00028c9222--65bbdde5543cd35382c9dffd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbddf75140ac16b3026594	+	
00028c9222--65bbddfb5140ac16b30265fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde02273ade4c3d9492a5	+	
00028c9222--65bbde0c543cd35382c9e36d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde0d156fa003ebe956b8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde12156fa003ebe956e5	+	
00028c9222--65bbde165140ac16b30267d5	+	
00028c9222--65bbde16543cd35382c9e484	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde28543cd35382c9e59f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde2b156fa003ebe95959	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde755140ac16b3026e78	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde787e61f1055b0f5473	+	
00028c9222--65bbde835140ac16b3027000	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbde83543cd35382c9ebd5	+	
00028c9222--65bbde8e273ade4c3d949c71	+	
00028c9222--65bbde90273ade4c3d949ca2	+	
00028c9222--65bbde96156fa003ebe960b5	+	
00028c9222--65bbdea0156fa003ebe9613e	+	
00028c9222--65bbdea45140ac16b302727d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdeb1156fa003ebe962f4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdeb35140ac16b3027365	+	
00028c9222--65bbdeb4543cd35382c9ef32	+	
00028c9222--65bbdeb9543cd35382c9ef82	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdeba7e61f1055b0f59cc	+	
00028c9222--65bbdebd273ade4c3d94a0a4	+	
00028c9222--65bbdec0273ade4c3d94a100	+	
00028c9222--65bbdec1273ade4c3d94a143	+	
00028c9222--65bbdec2273ade4c3d94a16b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdef75140ac16b302782d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdefe156fa003ebe96788	+	
00028c9222--65bbdf03273ade4c3d94a654	+	
00028c9222--65bbdf03543cd35382c9f46a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdf087e61f1055b0f5efa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdf12543cd35382c9f568	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdf2a7e61f1055b0f61a5	+	
00028c9222--65bbdf3b543cd35382c9f798	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdf46273ade4c3d94aa6b	+	
00028c9222--65bbdf47543cd35382c9f876	+	
00028c9222--65bbdf48543cd35382c9f87f	+	
00028c9222--65bbdf4d7e61f1055b0f63c2	+	
00028c9222--65bbdf5e7e61f1055b0f650c	+	
00028c9222--65bbdf6e5140ac16b3028038	+	
00028c9222--65bbdf6f543cd35382c9faa7	+	
00028c9222--65bbdf70156fa003ebe96ef6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdf73273ade4c3d94ad52	+	
00028c9222--65bbdf7d156fa003ebe96f92	+	
00028c9222--65bbdf837e61f1055b0f67bc	+	
00028c9222--65bbdf84273ade4c3d94ae84	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdf897e61f1055b0f681a	+	
00028c9222--65bbdf8a5140ac16b30281f8	+	
00028c9222--65bbdf9d156fa003ebe97277	+	
00028c9222--65bbdfb15140ac16b302849d	+	
00028c9222--65bbdfb2156fa003ebe973aa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdfb5543cd35382c9fee4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdfc1273ade4c3d94b45f	+	
00028c9222--65bbdfcb5140ac16b3028609	+	
00028c9222--65bbdfcb5140ac16b302860e	+	
00028c9222--65bbdfd0273ade4c3d94b574	+	
00028c9222--65bbdfd97e61f1055b0f6def	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbdfdc543cd35382ca0119	+	
00028c9222--65bbdff2273ade4c3d94b88e	+	
00028c9222--65bbdff5273ade4c3d94b8bd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe00b156fa003ebe979c6	+	
00028c9222--65bbe00c5140ac16b3028b67	+	
00028c9222--65bbe0127e61f1055b0f7165	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe023273ade4c3d94bc10	+	
00028c9222--65bbe0307e61f1055b0f737f	+	
00028c9222--65bbe0335140ac16b3028da3	+	
00028c9222--65bbe0347e61f1055b0f73d5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe038543cd35382ca0730	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe040543cd35382ca07d7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe0447e61f1055b0f7557	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe0475140ac16b3028f4d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe0527e61f1055b0f76b3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe0545140ac16b302900e	+	
00028c9222--65bbe054543cd35382ca0907	+	
00028c9222--65bbe06e543cd35382ca0af1	+	
00028c9222--65bbe078273ade4c3d94c269	+	
00028c9222--65bbe0c9543cd35382ca115c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe0d1156fa003ebe9884d	+	
00028c9222--65bbe0d5543cd35382ca1260	+	
00028c9222--65bbe0f35140ac16b3029c17	+	
00028c9222--65bbe0fd5140ac16b3029ce6	+	
00028c9222--65bbe102273ade4c3d94ccda	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
