INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	c471326c-5df5-4f1f-9fc9-7e736bca7dec	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	324e0ddf-36bf-4ee1-918c-2a35f01b3333	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/wy5wTM5/Andrena-bicolor-70836009-2-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	fa7d956c-42c3-498f-b43e-7f7d60861129	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	3da2229f-d658-45a8-b68a-c333afc58604	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	fulva	"""fulva"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	72fdfd19-36a8-4ded-bf0a-7ce4a12dbb71	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	a3747d02-f018-4c31-9628-da3e1a8779a5	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	d8fcd1ab-67b1-420b-abbd-f6878557f59b	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/qCtNVTd/Andrena-bicolor-53755527-1-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	bac8f714-788c-4862-a126-5497e966bd7d	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/ngt8zxg/Andrena-bicolor-43644050-1-hard-corr.jpg	fulva	"""fulva"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	a0c1812f-159a-4861-8b09-a6f6e15080bd	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	21bbfdbe-b2b3-403f-83f3-7790710a78bb	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/PZW8WfP/Andrena-bicolor-70513296-4-hard-wrong.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	81436e81-028c-4296-9657-89be1003416c	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/F0spnXg/Andrena-fulva-16795311-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	4a318f75-9b16-4d6a-83e1-657ca05d555b	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/rHYNS7t/Andrena-flavipes-75178065-1-hard-wrong.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	b7bdcf26-1bcb-477a-a6d9-4eff896d3c36	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/94Z258L/Andrena-flavipes-22101904-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	c3c79ba6-cfab-42de-a63d-27f5f2927ae1	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
https://i.ibb.co/tZ27qDH/Andrena-bicolor-39411385-1-hard-corr.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766882/00028c9222--65bbdc457e61f1055b0f2893	bc73d424-1c32-4b3d-b7c0-d734c6d82347	00028c9222--65bbdc457e61f1055b0f2893	00028c9222--65bbd0715140ac16b30144c3	2d41458a7b9d38e44733d582452282c0	APPROVED	2024-02-01T18:00:37.894	2024-02-01T18:02:52.757	+	
