ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028b3570--6597ce4d2e91040508fb105c	+	
00028b3570--6597ce512e91040508fb10b6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce615469f23b433d46f1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce692e91040508fb137e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce733acd552d1eb111f8	+	
00028b3570--6597ce7817936c150efaad0e	+	
00028b3570--6597ce792e91040508fb15a0	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce795469f23b433d493e	+	
00028b3570--6597ce7e2e91040508fb15df	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce805469f23b433d4a20	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce843acd552d1eb113e7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce875469f23b433d4aff	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce885469f23b433d4b1b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce906f27ca0f393723d8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ce922e91040508fb17a7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ceb42e91040508fb1bc2	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cebb17936c150efab37b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cebf3acd552d1eb11947	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cec83acd552d1eb11a73	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ced32e91040508fb1f61	+	
00028b3570--6597ced617936c150efab6e9	+	
00028b3570--6597ced72e91040508fb201d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cedd2e91040508fb2062	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cee15469f23b433d5259	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cee26f27ca0f39372cbc	+	
00028b3570--6597cee45469f23b433d529c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597ceea6f27ca0f39372d3b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cef36f27ca0f39372e11	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cef76f27ca0f39372e44	+	
00028b3570--6597cefa3acd552d1eb11ff4	+	
00028b3570--6597cefc5469f23b433d54c5	+	
00028b3570--6597cf083acd552d1eb12100	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf163acd552d1eb12231	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf292e91040508fb279a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf322e91040508fb28da	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf366f27ca0f39373473	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf416f27ca0f393735ac	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf502e91040508fb2b74	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf505469f23b433d5db4	+	
00028b3570--6597cf526f27ca0f39373759	+	
00028b3570--6597cf532e91040508fb2ba1	+	
00028b3570--6597cf582e91040508fb2c4c	+	
00028b3570--6597cf5d2e91040508fb2ca2	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf605469f23b433d5ebb	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf675469f23b433d5fa9	+	
00028b3570--6597cf676f27ca0f393739bc	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf7117936c150efac7b3	+	
00028b3570--6597cf732e91040508fb2f1c	+	
00028b3570--6597cf7b6f27ca0f39373b38	+	
00028b3570--6597cf913acd552d1eb12ea1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cf926f27ca0f39373dba	+	
00028b3570--6597cf942e91040508fb3254	+	
00028b3570--6597cf9c17936c150efacc52	+	
00028b3570--6597cfa817936c150efacd67	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cfbe17936c150efacf96	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597cfc72e91040508fb37c6	+	
00028b3570--6597cfd02e91040508fb38dd	+	
00028b3570--6597d0172e91040508fb4061	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d01e2e91040508fb40d1	+	
00028b3570--6597d01f5469f23b433d7291	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d01f6f27ca0f39374b1b	+	
00028b3570--6597d0315469f23b433d74ee	+	
00028b3570--6597d03317936c150efadd6e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d03d17936c150efade36	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d0413acd552d1eb14643	+	
00028b3570--6597d0755469f23b433d7cfd	+	
00028b3570--6597d0c85469f23b433d860a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d0d32e91040508fb528b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d0eb3acd552d1eb15939	+	
00028b3570--6597d0f017936c150efaf440	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d1233acd552d1eb15efd	+	
00028b3570--6597d1376f27ca0f39376a32	+	
00028b3570--6597d1752e91040508fb62c5	+	
