INPUTimage,OUTPUTresult,OUTPUTfirst_answer,GOLDENresult,GOLDENfirst_answer,HINTtext,HINTdefault_language,ASSIGNMENTlink,ASSIGNMENTtask_id,ASSIGNMENTassignment_id,ASSIGNMENTtask_suite_id,ASSIGNMENTworker_id,ASSIGNMENTstatus,ASSIGNMENTstarted,ASSIGNMENTsubmitted,ACCEPTverdict,ACCEPTcomment
https://i.ibb.co/wCMSPCK/Andrena-fulva-43172780-1-easy.jpg,fulva,"""fulva""",fulva,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,202a3124-65a4-4a2d-aa96-b327bae3c529,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/HG84CGK/Andrena-flavipes-77107536-1-hard.jpg,flavipes,"""flavipes""",flavipes,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,aa4ec5d9-3d3c-4472-87e2-ee44429d65fb,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/FsFwXSJ/Andrena-flavipes-50557228-1-easy.jpg,flavipes,"""flavipes""",flavipes,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,9572ba9b-5acd-4bf3-862c-70ca130816f7,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/VprcpHZ/Andrena-bicolor-84691158-1-hard.jpg,fulva,"""fulva""",bicolor,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,6516bb37-918a-4ccf-8f82-3238ecc86273,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/dkDj2bt/Andrena-bicolor-39411385-1-hard.jpg,bicolor,"""bicolor""",bicolor,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,047bed56-f570-4068-8e6e-6524d360abd9,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/M7Pfy5r/Andrena-fulva-101552423-1-easy.jpg,fulva,"""fulva""",fulva,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,7f93e0c3-a5a3-48c5-8b5a-d6023559cd45,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/znwNL0b/Andrena-fulva-25074448-1-hard.jpg,fulva,"""fulva""",fulva,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,1ddc06cc-d13a-4801-9d0b-705ce7689d56,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/j39BvXS/Andrena-flavipes-91695281-1-hard.jpg,bicolor,"""bicolor""",flavipes,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,33d9263e-14d9-4568-9cc0-61362bcd7865,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/fF1RpDL/Andrena-flavipes-40178244-1-easy.jpg,flavipes,"""flavipes""",flavipes,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,6e28a11f-8bb3-4cef-9955-082a89cd2a7d,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
https://i.ibb.co/h9jJyMT/Andrena-flavipes-49603112-1-easy.jpg,flavipes,"""flavipes""",flavipes,,,,https://platform.toloka.ai/task/42677616/00028b3570--6597ce4d2e91040508fb105c,1e3bdd27-7930-4990-b6bb-e767f332f46a,00028b3570--6597ce4d2e91040508fb105c,00028b3570--65942db746099156639a3e34,b3676cbe6523f3ed7f0fb305bb9265ef,SUBMITTED,2024-01-05T09:39:25.671,2024-01-05T09:42:07.388,,
